Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\ethGitlab\sensei-wulpus-shield\hw\wulpus_pro_acq_pcb_dev_board\Project Outputs for wulpus_pro_acq_pcb\Pick Place\Pick Place for wulpus_pro_acq(pzt_hia_no_bias).txt

========================================================================================================================
File Design Information:

Date:       27.05.26
Time:       13:31
Revision:   dac888c8aeea61f824c052da7adf19988fcd2d27
Variant:    pzt_hia_no_bias
Units used: mm

Designator Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                 
R21        CRCW0402402RFKEDC         TopLayer    FP-CRCW0402-C-e3-MFG            -14.4500     1.6750       270      CRCW0402402RFKEDC                                                                                                                                           
R18        CRCW04020000Z0ED          TopLayer    FP-CRCW0402-e3-IPC_C            -11.2500     -1.2000      0        CRCW04020000Z0ED                                                                                                                                            
R16        CRCW040210K0JNED          TopLayer    FP-CRCW0402-e3-IPC_B            -13.5250     -6.4000      0        CRCW040210K0JNED                                                                                                                                            
R15        ERJ-3GEY0R00V             TopLayer    FP-ERJ-3GEY0R00V-MFG            -6.5250      -6.7500      90       ERJ-3GEY0R00V                                                                                                                                               
R14        CRCW040210K0JNED          TopLayer    FP-CRCW0402-e3-IPC_B            -10.0500     0.1750       270      CRCW040210K0JNED                                                                                                                                            
R12        CRCW040210K0JNED          BottomLayer FP-CRCW0402-e3-IPC_B            -3.5750      0.4500       270      CRCW040210K0JNED                                                                                                                                            
R11        CRCW040210K0JNED          BottomLayer FP-CRCW0402-e3-IPC_B            -11.0750     8.6500       90       CRCW040210K0JNED                                                                                                                                            
R10        CRCW040210K0JNED          TopLayer    FP-CRCW0402-e3-IPC_B            -11.3250     9.0000       270      CRCW040210K0JNED                                                                                                                                            
R9         RMCF0201JT47K0            BottomLayer FP-RMCF0201-MFG                 -2.8750      7.1000       270      RMCF0201JT47K0                                                                                                                                              
R5         MCS04020C2701FE000        TopLayer    FP-MCS0402-IPC_B                -9.6500      2.6000       90       MCS04020C2701FE000                                                                                                                                          
R4         CRCW04021R00FKEDC         BottomLayer FP-CRCW0402-C-e3-MFG            -9.6250      2.9250       90       CRCW04021R00FKEDC                                                                                                                                           
R3         ERJ-2RKF2001X             BottomLayer FP-ERJ2RK-MFG                   -5.9250      4.1250       90       ERJ-2RKF2001X                                                                                                                                               
R2         ERJ-2RKF2001X             BottomLayer FP-ERJ2RK-MFG                   -6.6750      1.9500       0        ERJ-2RKF2001X                                                                                                                                               
R1         CRCW04021K30JNED          TopLayer    FP-CRCW0402-e3-IPC_B            -9.4000      4.4750       90       CRCW04021K30JNED                                                                                                                                            
Q1         NX7002BKMBYL              TopLayer    NX7002BKMBYL                    -12.8000     -4.4500      90       "MOSFET (N-Channel)"                                                                                                                                        
L3         LQH3NPZ100MMEL            BottomLayer FP-LQH3NPH_ME-MFG               -13.2000     -7.0000      0        "Wire Wound Ferrite Inductor for Power Lines For Automotive 10µH ±20% 0.228O 1280mA 1212"                                                                   
L2         742792040                 TopLayer    SMD-0805                        -19.0500     8.0500       270      "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 600 Ohm"                                                                                                      
J12        DF40HC(3.0)-50DS-0.4V(51) BottomLayer DF40HC3050DS04V51               -29.0000     -0.5800      270      "50 Position 0.4mm Pitch Dual Row Vertical Surface Mount (SMT) Pin Socket, 3.0mm Stacking Height"                                                           
J11        U.FL-R-SMT-1(10)          TopLayer    FP-U_FL-R-SMT-1_10-MFG          -26.0500     -7.8375      0        "CONN U.FL RCPT STR 50 OHM SMD"                                                                                                                             
J10        U.FL-R-SMT-1(10)          TopLayer    FP-U_FL-R-SMT-1_10-MFG          -20.2000     -7.8375      0        "CONN U.FL RCPT STR 50 OHM SMD"                                                                                                                             
J6         DF52-16S-0.8H(21)         BottomLayer CONN_DF52-16S-0.8H(21)_HIR      11.0741      0.0000       270      "No Description Available"                                                                                                                                  
J4         DF52-16S-0.8H(21)         TopLayer    CONN_DF52-16S-0.8H(21)_HIR      11.0741      0.0000       90       "No Description Available"                                                                                                                                  
FB4        BLM18SP101SH1D            BottomLayer FP-BLM18-0_15-t0_8-MFG          -21.9500     7.3000       0        "BLM18SP101SH1D Ferrite Beads Multi-Layer 100Ohm 25% 100MHz 3.7A 0.022Ohm DCR 0603 Automotive T/R"                                                          
FB2        BLM18SP101SN1D            TopLayer    FP-BLM18-0_15-t0_8-MFG          -13.4500     -9.2250      0        "BLM18SP101SN1D Ferrite Bead, 100 Ohm, 3.7A, 0603 Rohs Compliant: Yes"                                                                                      
FB1        BLM18SP101SN1D            BottomLayer FP-BLM18-0_15-t0_8-MFG          1.5000       -3.9000      0        "BLM18SP101SN1D Ferrite Bead, 100 Ohm, 3.7A, 0603 Rohs Compliant: Yes"                                                                                      
D3         ZHCS400QTA                BottomLayer DIODE_SOD323_DIO                -7.5250      -2.3229      0        "Diode Schottky 40V 1A Automotive 2-Pin SOD-323 T/R"                                                                                                        
